Beverage,Size,Beverage Category,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),hot_cold,Vegan
Brewed Coffee - Dark Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,130.0,hot,Vegan
Brewed Coffee - Dark Roast,Tall,Coffee,No Milk,,354 mL,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,193.0,hot,Vegan
Brewed Coffee - Dark Roast,Grande,Coffee,No Milk,,473 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,260.0,hot,Vegan
Brewed Coffee - Dark Roast,Venti®,Coffee,No Milk,,591 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.02,0.0,340.0,hot,Vegan
Brewed Coffee Traveler - Dark Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,130.0,hot,Vegan
Brewed Coffee - Decaf Pike Place® Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,15.0,hot,Vegan
Brewed Coffee - Decaf Pike Place® Roast,Tall,Coffee,No Milk,,354 mL,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,20.0,hot,Vegan
Brewed Coffee - Decaf Pike Place® Roast,Grande,Coffee,No Milk,,473 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,25.0,hot,Vegan
Brewed Coffee - Decaf Pike Place® Roast,Venti®,Coffee,No Milk,,591 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,30.0,hot,Vegan
Brewed Coffee Traveler - Decaf Pike Place® Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,15.0,hot,Vegan
Brewed Coffee - Medium Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,155.0,hot,Vegan
Brewed Coffee - Medium Roast,Tall,Coffee,No Milk,,354 mL,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,235.0,hot,Vegan
Brewed Coffee - Medium Roast,Grande,Coffee,No Milk,,473 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,310.0,hot,Vegan
Brewed Coffee - Medium Roast,Venti®,Coffee,No Milk,,591 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.02,0.0,410.0,hot,Vegan
Brewed Coffee Traveler - Medium Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,155.0,hot,Vegan
Brewed Coffee - True North Blend Blonde Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,180.0,hot,Vegan
Brewed Coffee - True North Blend Blonde Roast,Tall,Coffee,No Milk,,354 mL,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,270.0,hot,Vegan
Brewed Coffee - True North Blend Blonde Roast,Grande,Coffee,No Milk,,473 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,360.0,hot,Vegan
Brewed Coffee - True North Blend Blonde Roast,Venti®,Coffee,No Milk,,591 mL,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.02,0.0,475.0,hot,Vegan
Brewed Coffee Traveler - True North Blend Blonde Roast,Short,Coffee,No Milk,,236 mL,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,180.0,hot,Vegan
Caffè Misto,Short,Coffee,Nonfat,,236 mL,35,0.1,0.1,0.0,0,45,5,0,5,4.0,0.06,0.0,0.1,0.0,75.0,hot,Non Vegan
Caffè Misto,Short,Coffee,Whole,,236 mL,50,2.0,1.0,0.1,10,50,5,0,5,4.0,0.06,0.0,0.1,0.0,75.0,hot,Non Vegan
Caffè Misto,Short,Coffee,Whole,,236 mL,70,3.5,2.0,0.1,10,50,5,0,5,3.0,0.04,0.0,0.1,0.0,75.0,hot,Non Vegan
Caffè Misto,Short,Coffee,Soy,,236 mL,40,1.5,0.2,0.0,0,40,3,0,2,3.0,0.04,0.0,0.1,0.06,75.0,hot,Vegan
Caffè Misto,Short,Coffee,Coconut,,236 mL,40,2.5,2.5,0.0,0,45,4,0,3,0.4,0.0,0.0,0.0,0.0,75.0,hot,Vegan
Caffè Misto,Tall,Coffee,Nonfat,,354 mL,60,0.2,0.1,0.0,5,70,8,0,8,6.0,0.1,0.0,0.2,0.0,115.0,hot,Non Vegan
Caffè Misto,Tall,Coffee,Whole,,354 mL,80,3.0,1.5,0.1,15,80,8,0,8,5.0,0.08,0.0,0.2,0.0,115.0,hot,Non Vegan
Caffè Misto,Tall,Coffee,Whole,,354 mL,100,5.0,3.0,0.2,15,70,8,0,8,5.0,0.08,0.0,0.15,0.0,115.0,hot,Non Vegan
Caffè Misto,Tall,Coffee,Soy,,354 mL,60,2.5,0.3,0.0,0,60,5,1,4,4.0,0.06,0.0,0.2,0.08,115.0,hot,Vegan
Caffè Misto,Tall,Coffee,Coconut,,354 mL,60,3.5,3.5,0.0,0,70,6,0,5,1.0,0.0,0.0,0.0,0.0,115.0,hot,Vegan
Caffè Misto,Grande,Coffee,Nonfat,,473 mL,70,0.2,0.1,0.0,5,90,10,0,10,7.0,0.15,0.0,0.25,0.0,150.0,hot,Non Vegan
Caffè Misto,Grande,Coffee,Whole,,473 mL,110,4.0,2.0,0.1,15,100,10,0,10,7.0,0.1,0.0,0.25,0.0,150.0,hot,Non Vegan
Caffè Misto,Grande,Coffee,Whole,,473 mL,130,7.0,4.0,0.2,20,95,10,0,10,7.0,0.1,0.0,0.2,0.0,150.0,hot,Non Vegan
Caffè Misto,Grande,Coffee,Soy,,473 mL,80,3.0,0.4,0.0,0,80,6,1,5,6.0,0.08,0.0,0.25,0.1,150.0,hot,Vegan
Caffè Misto,Grande,Coffee,Coconut,,473 mL,70,4.5,4.5,0.0,0,90,7,0,7,1.0,0.0,0.0,0.0,0.0,150.0,hot,Vegan
Caffè Misto,Venti®,Coffee,Nonfat,,591 mL,90,0.3,0.2,0.0,5,115,13,0,13,9.0,0.15,0.0,0.3,0.0,195.0,hot,Non Vegan
Caffè Misto,Venti®,Coffee,Whole,,591 mL,130,5.0,2.5,0.2,20,130,13,0,13,9.0,0.15,0.0,0.3,0.0,195.0,hot,Non Vegan
Caffè Misto,Venti®,Coffee,Whole,,591 mL,160,9.0,5.0,0.3,25,120,13,0,13,9.0,0.1,0.0,0.25,0.0,195.0,hot,Non Vegan
Caffè Misto,Venti®,Coffee,Soy,,591 mL,100,4.0,0.5,0.0,0,100,8,1,6,7.0,0.1,0.0,0.3,0.15,195.0,hot,Vegan
Caffè Misto,Venti®,Coffee,Coconut,,591 mL,80,5.0,4.5,0.0,0,90,7,0,7,1.0,0.0,0.0,0.0,0.0,195.0,hot,Vegan
Clover® Brewed Coffee - Dark Roast,Short,Coffee,No Milk,,236 mL,10,0.0,0.0,0.0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,190.0,hot,Vegan
Clover® Brewed Coffee - Dark Roast,Tall,Coffee,No Milk,,354 mL,10,0.0,0.0,0.0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,280.0,hot,Vegan
Clover® Brewed Coffee - Dark Roast,Grande,Coffee,No Milk,,473 mL,10,0.0,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,380.0,hot,Vegan
